Label,Shp_name
a10,ID
g7_1,Apli_Event
g8,DDE
g10_1,Fert_WM1
g10_2,Fert_WM2
g10_3,Fert_WM3
g10_4,Fert_WM4
g10_5,Fert_WM5
g10_c_1,Fert_M1
g10_c_2,Fert_M2
g10_c_3,Fert_M3
g10_c_4,Fert_M4
g10_c_5,Fert_M5
g12_c_1,Quantity_1
g12_c_2,Quantity_2
g12_c_3,Quantity_3
g12_c_4,Quantity_4
g12_c_5,Quantity_5
g12_u_1,Unit_1
g12_u_2,Unit_2
g12_u_3,Unit_3
g12_u_4,Unit_4
g12_u_5,Unit_5
g12_ua_1,Ot_uni_1
g12_ua_2,Ot_uni_2
g12_ua_3,Ot_uni_3
g12_ua_4,Ot_uni_4
g12_ua_5,Ot_uni_5
g12_1_1,Equi_Uni_1
g12_1_2,Equi_Uni_2
g12_1_3,Equi_Uni_3
g12_1_4,Equi_Uni_4
g12_1_5,Equi_Uni_5
a11,Location_1
a12,Location_2
f4_1,Variety
f5_1,Sow_Area
